ID,Point_ID,Point_Number,Date,Day,Time,Event,Campsite
1,1,II,24-Jul,Friday,4:00,"""About four o’clock the next morning, though it was quite cloudy, accompanied by the landlord to the water’s edge, in the twilight, we launched our canoe from a rock on Moosehead Lake.""",N
2,5,II,24-Jul,Friday,Null,"""Having passed the small rocky isles within two or three miles of the foot of the lake, we had a short consultation respecting our course, and inclined to the western shore for the sake of its lee; for otherwise, if the wind should rise, it would be impossible for us to reach Mount Kineo, which is about midway up the lake on the east side, but at its narrowest part, where probably we could recross if we took the western side. """,N
3,6,II,24-Jul,Friday,Null,"""Having passed the small rocky isles within two or three miles of the foot of the lake, we had a short consultation respecting our course, and inclined to the western shore for the sake of its lee; for otherwise, if the wind should rise, it would be impossible for us to reach Mount Kineo, which is about midway up the lake on the east side, but at its narrowest part, where probably we could recross if we took the western side. """,N
4,8,II,24-Jul,Friday,Null,""" The Indian reminding us that he could not work without eating, we stopped to breakfast on the main shore southwest of Deer Island.""",N
5,10,II,24-Jul,Friday,Null,"""While I had my eye fixed on the spot where a large fish had leaped, we took in a gallon or two of water; but we soon reached the shore and took the canoe over the bar at Sand-bar Island, a few feet wide only, and so saved a considerable distance.""",N
6,11,II,24-Jul,Friday,Null,"""While we were crossing this bay, where Mount Kineo rose dark before us within two or three miles, the Indian repeated the tradition respecting this mountain’s having anciently been a cow moose—how a mighty Indian hunter succeeded in killing this queen of the moose tribe with great difficulty, while her calf was killed somewhere among the islands in Penobscot Bay, and, to his eyes, this mountain had still the form of the moose in a reclining posture.""",N
7,16,II,24-Jul,Friday,12:00,"""We approached the land again through pretty rough water, and then steered directly across the lake at its narrowest part to the eastern side, and were soon partly under the lee of the mountain, having paddled about twenty miles. It was now about noon.""",N
8,17,II,24-Jul,Friday,Null,"""We designed to stop there that afternoon and night, and spent half an hour looking along the shore northward for a suitable place to camp. At length, by going half a dozen rods into the dense spruce and fir wood on the side of the mountain almost as dark as a cellar, we found a place sufficiently clear and level to lie down on, after cutting away a few bushes.""",N
9,18,II,24-Jul,Friday,17:00,"""After dinner we returned southward along the shore, in the canoe, on account of the difficulty of climbing over the rocks and fallen trees, and began to ascend the mountain along the edge of the precipice.""",N
10,19,II,24-Jul,Friday,Null,"""From the summit of the precipice which forms the southern and eastern sides of this mountain peninsula, five or six hundred feet high, we probably might have jumped down to the water, or to the seemingly dwarfish trees on the narrow neck of land which connects it with the main. It is a dangerous place to try the steadiness of your nerves.""",N
11,20,II,24-Jul,Friday,20:00,"""When we got to the camp, the canoe was taken out and turned over, and a log laid across it to prevent its being blown away. The Indian cut some large logs of damp and rotten wood to smoulder and keep fire through the night. The trout was fried for supper.""",Y
12,1,III,25-Jul,Saturday,4:00,"""At breakfast, the Indian, evidently curious to know what would be expected of him the next day, asked me how I spent the Sunday when at home. I told him that I commonly sat in my chamber reading, etc., in the forenoon, and went to walk in the afternoon. At which he shook his head and said, “Er, that is ver’ bad.”""",N
13,2,III,25-Jul,Saturday,Null,"""We crossed a deep wide bay north of Kineo, leaving an island on our left and keeping up the eastern side of the lake. We then crossed another broad bay, which, as we could no longer observe the shore particularly, afforded ample time for conversation.""",N
15,4,III,25-Jul,Saturday,12:00,"""At length I jumped out onto the end of the pier against which the waves were dashing violently, in order to lighten the canoe and catch it at the landing, which was not much sheltered, but just as I jumped we took in two or three gallons of water. """,N
16,5,III,25-Jul,Saturday,16:00,"""We reached the Penobscot about four o’clock, and found there some St. Francis Indians encamped on the bank. """,N
17,7,III,25-Jul,Saturday,17:00,"""When we had gone about three miles down the Penobscot, we saw through the tree-tops a thunder-shower coming up in the west, and we looked out a camping-place in good season, about five o’clock.""",Y
